gene_id	TCGA-BC-A10T-11A-11R-A131-07	TCGA-DD-A1EC-11A-11R-A131-07	TCGA-DD-A1EH-11A-11R-A131-07	TCGA-DD-A39V-11A-11R-A213-07	TCGA-DD-A39W-11A-11R-A213-07	TCGA-DD-A39X-11A-11R-A213-07	TCGA-EP-A12J-11A-11R-A131-07	TCGA-ES-A2HT-11A-11R-A180-07	TCGA-BC-A216-11A-11R-A155-07	TCGA-BD-A2L6-11A-21R-A213-07	TCGA-DD-A114-11A-12R-A131-07	TCGA-DD-A118-11A-11R-A131-07	TCGA-DD-A1EI-11A-11R-A131-07	TCGA-DD-A1EL-11A-11R-A155-07
ENSG00000007866.22	588	464	404	391	394	448	257	621	410	565	442	219	398	555
ENSG00000007908.16	259	268	253	151	139	178	24	63	129	149	185	123	298	327
ENSG00000007923.16	542	842	471	592	1096	807	866	950	580	759	1108	523	1396	1262
ENSG00000007933.13	15416	19225	24340	12671	41289	29174	18047	29466	29324	19439	34218	26163	46055	36678
ENSG00000007944.15	198	312	181	117	234	179	174	298	250	484	302	94	202	318
ENSG00000007952.18	13	22	32	15	22	27	6	18	159	23	24	8	17	29
ENSG00000007968.7	3	15	8	5	4	9	20	42	39	34	92	9	18	22
ENSG00000008018.9	3982	4695	6343	4848	6374	7483	3619	7725	5310	6568	6206	4046	6974	8058
ENSG00000008056.14	129	180	48	56	18	70	12	93	55	94	31	14	17	23
ENSG00000008083.14	255	384	239	230	349	241	251	416	318	657	498	209	477	505
ENSG00000008086.13	152	276	163	129	192	234	190	273	149	289	309	95	407	328
ENSG00000008118.10	2	13	6	4	11	0	15	10	7	27	7	1	8	13
ENSG00000008128.23	21	7	25	9	28	26	32	54	29	54	34	13	12	42
ENSG00000008130.15	1984	3663	2745	3004	3552	4270	2556	3990	2690	3891	4118	2712	4160	5241
ENSG00000008196.13	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008197.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226.20	8	75	29	12	23	22	16	68	29	58	21	26	41	56
ENSG00000008256.16	153	368	190	124	180	213	224	342	240	545	301	85	334	479
ENSG00000008277.14	14	13	34	10	12	17	13	9	32	47	22	10	27	16
ENSG00000008282.9	1850	2197	2690	1692	2411	2550	1858	6569	2465	2993	4358	1338	2243	4016
ENSG00000008283.16	447	943	601	1040	947	594	727	1216	909	1038	1239	477	911	1130
ENSG00000008294.21	1699	3402	1665	1473	3003	2419	1339	2161	1761	2798	2447	1734	3109	3398
ENSG00000008300.17	7	17	13	3	14	16	14	45	41	86	45	11	70	26
ENSG00000008311.15	1749	3347	3290	1259	3787	3817	1595	1249	4602	3674	2403	3794	4534	4891
ENSG00000008323.15	126	171	111	237	246	209	290	612	126	122	453	45	425	416
ENSG00000008324.12	461	418	642	450	519	646	302	685	493	802	585	534	492	646
ENSG00000008382.16	401	450	686	602	1115	990	343	388	436	687	526	437	906	918
ENSG00000008394.13	25391	21198	50728	34163	46481	60614	26447	43745	45292	30101	52971	28462	41217	67994
ENSG00000008405.12	876	315	314	400	483	248	572	423	723	671	520	723	523	420
ENSG00000008438.5	1	3	5	10	2	1	2	0	10	4	5	4	2	5
ENSG00000008441.18	1542	2040	1997	1238	2929	2465	2068	1997	1302	1672	2900	1218	3159	3270
ENSG00000008513.16	3194	17575	4327	3772	9898	15437	6093	5113	7282	8687	7510	4485	5800	12752
ENSG00000008516.17	51	26	33	70	18	26	15	96	30	242	85	37	26	35
ENSG00000008517.18	8776	3925	9235	16737	609	2696	5121	31316	24925	24151	16484	1332	4929	22435
ENSG00000008710.20	111	1065	324	267	400	751	409	557	204	691	553	172	525	1043
ENSG00000008735.14	16	17	28	38	19	10	84	298	20	37	83	4	33	33
ENSG00000008838.20	913	1435	1177	1256	1846	1850	1270	2402	1131	1903	2266	719	2273	2258
ENSG00000008853.17	47	245	122	68	166	254	167	313	166	295	316	65	184	294
ENSG00000008869.12	361	758	549	381	581	742	467	736	525	1058	980	308	881	1143
ENSG00000008952.17	6933	8721	7900	7852	11120	11794	5309	9074	8644	7507	9429	5590	8757	11569
ENSG00000008988.11	14664	12232	21716	15779	22194	27083	7908	20069	17054	32439	15549	14602	17667	22857
ENSG00000009307.16	9027	16669	12359	8942	16827	13923	8915	15277	11008	16532	15920	8502	17007	18150
ENSG00000009335.18	1450	2613	1898	1736	2571	2026	1727	2512	2126	2586	2853	1621	3167	3721
ENSG00000009413.16	291	741	375	285	398	357	358	586	360	597	868	375	938	953
ENSG00000009694.13	44	402	411	179	136	269	52	383	249	203	456	163	241	646
ENSG00000009709.12	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009724.17	6697	9662	8554	9930	14345	15583	5902	9396	11219	8874	7186	7941	10534	16663
ENSG00000009765.15	1945	1757	1822	983	3867	3251	1071	984	1406	1814	1339	1783	3866	5274
ENSG00000009780.16	231	225	270	174	305	239	146	328	215	331	361	188	350	337
ENSG00000009790.15	45	74	62	53	47	67	43	162	64	1050	319	43	85	125
ENSG00000009830.12	87	251	219	191	279	284	246	630	174	325	681	108	300	386
ENSG00000009844.16	1093	1269	1550	1015	1472	1371	1074	1962	1445	1367	1744	1001	1690	2263
ENSG00000009950.16	4829	6888	10918	6971	10429	10620	3944	8799	6616	6905	9387	4131	9705	14003
ENSG00000009954.11	1791	2700	1985	1432	2340	2110	1646	2966	1675	2583	3075	1215	3046	3199
ENSG00000010017.13	675	876	872	753	835	866	713	992	1110	1020	1495	702	1493	1469
ENSG00000010030.14	114	33	64	53	82	13	677	1380	23	146	1096	8	107	167
ENSG00000010072.16	193	211	199	136	184	177	122	247	226	334	248	162	241	376
ENSG00000010165.20	544	1062	723	718	1274	1233	821	1287	668	1224	1084	558	1137	1325
ENSG00000010219.13	161	274	297	220	236	345	153	357	328	476	413	180	329	356
ENSG00000010244.19	1387	1503	1532	1149	1526	1672	1374	2554	1582	3178	2676	860	2153	2471
ENSG00000010256.11	7224	7202	12098	11669	15509	15441	8032	14130	8515	10501	13199	8052	16197	16518
ENSG00000010270.14	255	357	297	346	335	393	346	773	507	847	762	329	381	715
ENSG00000010278.15	2015	1107	1446	2403	970	1967	563	2244	1596	3652	1019	1003	1651	1595
ENSG00000010282.15	0	2	2	0	2	1	0	0	1	0	0	0	1	0
ENSG00000010292.13	164	549	350	256	479	568	300	785	469	1051	844	154	614	627
ENSG00000010295.20	216	464	393	345	433	509	248	569	322	1147	587	186	479	705
ENSG00000010310.9	10	6	8	6	8	6	9	21	14	62	50	4	19	28
ENSG00000010318.21	113	125	192	100	168	194	98	230	107	195	203	94	267	240
ENSG00000010319.7	141	555	118	187	237	36	223	108	69	743	264	44	359	45
ENSG00000010322.16	641	1891	1168	1242	1646	1403	1002	1918	1060	2560	2154	770	1706	2340
ENSG00000010327.10	3110	7290	2595	3645	3499	2111	2260	3220	6027	7157	4623	1601	3129	3778
ENSG00000010361.14	182	320	251	247	413	438	117	201	185	218	234	177	239	245
ENSG00000010379.16	257	578	574	373	923	931	147	141	477	465	180	360	489	797
ENSG00000010404.18	40	149	35	48	108	103	59	72	51	143	79	93	115	121
ENSG00000010438.17	48	178	26	122	89	62	66	661	215	112	42	41	107	100
ENSG00000010539.12	171	138	134	119	130	159	126	391	192	280	321	99	153	207
ENSG00000010610.10	5008	9018	5424	2517	9805	14856	2878	2811	4609	13050	6372	4008	7229	6782
ENSG00000010626.15	93	163	90	59	127	66	133	220	141	131	206	91	66	146
ENSG00000010671.16	84	203	95	87	101	118	77	258	160	886	373	92	176	224
ENSG00000010704.18	379	912	670	597	860	964	646	1111	636	695	1284	547	843	1388
ENSG00000010803.16	226	453	350	229	266	415	193	686	311	591	422	187	500	489
ENSG00000010810.17	886	1261	1828	998	1672	1044	1105	1488	2090	3073	2032	906	1779	2064
ENSG00000010818.10	869	513	300	472	278	287	326	774	568	771	957	620	630	889
ENSG00000010932.17	16	23	13	20	27	6	14	223	8	12	131	4	295	233
ENSG00000011007.12	1493	1923	1973	1631	2104	2364	1492	2614	2169	2161	2441	1511	2364	2448
ENSG00000011009.11	1861	1808	2723	2161	3167	2925	1996	4946	1785	3605	3400	1428	2703	3607
ENSG00000011021.23	314	600	348	297	617	719	257	351	300	744	487	235	427	824
ENSG00000011028.14	340	522	424	445	330	242	493	942	598	1959	1255	174	1045	1162
ENSG00000011052.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011083.9	0	0	0	1	0	0	0	3	0	4	3	0	2	2
ENSG00000011105.14	2715	5881	4309	4723	5873	5156	3425	4636	3059	4261	5519	1901	6135	6615
ENSG00000011114.15	366	797	488	322	450	450	316	601	420	782	664	290	699	615
ENSG00000011132.12	255	310	357	360	590	362	318	568	295	568	461	245	448	739
ENSG00000011143.19	138	179	173	140	262	281	147	257	186	359	299	122	255	285
ENSG00000011198.10	814	884	1205	738	1998	654	449	1387	1078	791	1022	737	875	1392
ENSG00000011201.12	18	87	48	22	33	22	26	48	94	125	88	10	52	80
ENSG00000011243.18	298	431	385	327	286	371	228	595	308	599	530	255	389	625
ENSG00000011258.16	350	720	597	405	679	608	448	502	556	650	826	422	889	963
ENSG00000011260.14	603	688	553	541	661	717	427	966	671	1053	728	453	885	923
ENSG00000011275.19	576	1324	650	648	1027	1246	728	1118	721	1488	1223	561	1136	1422
ENSG00000011295.16	825	1426	1212	1361	1591	1683	1102	2100	1175	1592	1668	873	1877	2211
ENSG00000011304.22	5193	4687	5235	3179	5466	4938	3754	7721	4235	6862	6211	3176	6247	6814
ENSG00000011332.19	0	2	0	1	0	0	4	8	1	1	0	2	1	0
ENSG00000011347.10	2192	3488	3091	14232	4485	2447	10288	6494	5383	2984	10816	1694	9748	13063
ENSG00000011376.12	573	901	685	918	1124	1025	1058	1306	982	948	1494	549	1648	1794
ENSG00000011405.13	966	1515	963	781	993	1030	781	1197	960	1546	1749	1035	1676	1953
ENSG00000011422.12	473	123	175	182	117	93	97	359	289	1149	589	211	261	286
ENSG00000011426.11	7	21	50	23	2	16	30	134	213	42	166	42	83	68
